Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
0.000000000000000000, 0.002136230468750000,  NA (uncore),  NA (DRAM) 700.000000000000000000, 0.000000000000000000, 15:20:07.795472
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
197.306823730468750000, 187.463195800781250000,  NA (uncore),  NA (DRAM) 700.000000000000000000, 197.306823730468750000, 15:20:17.795624
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
441.641113281250000000, 421.094543457031250000,  NA (uncore),  NA (DRAM) 700.000000000000000000, 441.641113281250000000, 15:20:27.795793
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
660.108703613281250000, 627.115234375000000000,  NA (uncore),  NA (DRAM) 700.000000000000000000, 660.108703613281250000, 15:20:37.796080
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
809.240783691406250000, 762.494506835937500000,  NA (uncore),  NA (DRAM) 700.000000000000000000, 809.240783691406250000, 15:20:47.797384
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
958.601379394531250000, 897.444152832031250000,  NA (uncore),  NA (DRAM) 700.000000000000000000, 958.601379394531250000, 15:20:57.798271
------------------------------------------------------------------------------------------------------- 
