Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
27387.410461425781250000, 19992.473327636718750000,  NA (uncore),  NA (DRAM) 700.000000000000000000, 27387.410461425781250000, 14:49:15.162422
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
192.608886718750000000, 182.870605468750000000,  NA (uncore),  NA (DRAM) 700.000000000000000000, 192.608886718750000000, 14:49:25.162553
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
436.014953613281250000, 415.740661621093750000,  NA (uncore),  NA (DRAM) 700.000000000000000000, 436.014953613281250000, 14:49:35.162692
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
654.731445312500000000, 622.582092285156250000,  NA (uncore),  NA (DRAM) 700.000000000000000000, 654.731445312500000000, 14:49:45.162879
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
803.505676269531250000, 758.368713378906250000,  NA (uncore),  NA (DRAM) 700.000000000000000000, 803.505676269531250000, 14:49:55.163088
------------------------------------------------------------------------------------------------------- 
Package , CPU , GPU , DRAM? , Threshold , Actual , Recorded At (timestamp)  
952.764221191406250000, 892.975646972656250000,  NA (uncore),  NA (DRAM) 700.000000000000000000, 952.764221191406250000, 14:50:05.163284
------------------------------------------------------------------------------------------------------- 
